RunAtUTC,BucketID,Query,Status,ReturnedItems
2026-02-04T04:12:10.134242+00:00,GaN_CMOS_B_Enablers,"""p-GaN"" FET",OK,400
2026-02-04T04:12:13.375127+00:00,GaN_CMOS_B_Enablers,"""p-channel"" GaN MOSFET",OK,400
2026-02-04T04:12:15.534283+00:00,GaN_CMOS_B_Enablers,"""GaN"" n-channel MOSFET",OK,400
2026-02-04T04:12:17.806437+00:00,GaN_CMOS_B_Enablers,"""GaN"" CMOS technology",OK,400
2026-02-04T04:12:19.824113+00:00,GaN_CMOS_B_Enablers,"""GaN"" complementary technology",OK,400
2026-02-04T04:12:21.769950+00:00,GaN_CMOS_B_Enablers,"""GaN"" complementary integration",OK,400
2026-02-04T04:12:23.736517+00:00,GaN_CMOS_B_Enablers,"""GaN"" threshold voltage engineering complementary",OK,400
2026-02-04T04:12:25.744218+00:00,GaN_CMOS_B_Enablers,"""normally-off"" GaN p-channel",OK,400
2026-02-04T04:12:27.597374+00:00,GaN_CMOS_B_Enablers,"""normally-off"" GaN complementary",OK,400
2026-02-04T04:12:29.596541+00:00,GaN_CMOS_B_Enablers,"""enhancement-mode"" GaN p-channel",OK,400
2026-02-04T04:12:31.645142+00:00,GaN_CMOS_B_Enablers,"""enhancement-mode"" GaN complementary",OK,400
2026-02-04T04:12:33.642513+00:00,GaN_CMOS_B_Enablers,"""gate stack"" GaN p-channel",OK,400
2026-02-04T04:12:36.500781+00:00,GaN_CMOS_B_Enablers,"""Mg"" doped p-GaN transistor",OK,400
2026-02-04T04:12:38.230417+00:00,GaN_CMOS_B_Enablers,"""polarization"" GaN p-channel transistor",OK,400
2026-02-04T04:12:40.336331+00:00,GaN_CMOS_B_Enablers,"""polarization"" enhanced complementary GaN",OK,400
2026-02-04T04:12:42.074871+00:00,VENUE_SWEEP_IEDM,"""GaN CMOS""",OK,400
2026-02-04T04:12:44.005110+00:00,VENUE_SWEEP_IEDM,"""GaN complementary logic""",OK,400
2026-02-04T04:12:45.936919+00:00,VENUE_SWEEP_IEDM,"""complementary GaN""",OK,400
2026-02-04T04:12:47.688160+00:00,VENUE_SWEEP_VLSI,"""GaN CMOS""",OK,400
2026-02-04T04:12:49.643207+00:00,VENUE_SWEEP_VLSI,"""GaN complementary logic""",OK,400
2026-02-04T04:12:51.492870+00:00,VENUE_SWEEP_VLSI,"""complementary GaN""",OK,400
2026-02-04T04:12:54.140476+00:00,VENUE_SWEEP_TED,"""GaN CMOS""",OK,400
2026-02-04T04:12:55.950674+00:00,VENUE_SWEEP_TED,"""GaN complementary logic""",OK,400
2026-02-04T04:12:57.927528+00:00,VENUE_SWEEP_TED,"""complementary GaN""",OK,400
2026-02-04T04:12:59.719338+00:00,VENUE_SWEEP_EDL,"""GaN CMOS""",OK,400
2026-02-04T04:13:02.135312+00:00,VENUE_SWEEP_EDL,"""GaN complementary logic""",OK,400
2026-02-04T04:13:03.971122+00:00,VENUE_SWEEP_EDL,"""complementary GaN""",OK,400
2026-02-05T04:14:59.573709+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN CMOS"" inverter",OK,400
2026-02-05T04:15:01.166394+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" CMOS inverter",OK,400
2026-02-05T04:15:03.556502+00:00,GaN_CMOS_A_Circuit_Demos,"""complementary"" GaN inverter",OK,400
2026-02-05T04:15:05.497391+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" complementary inverter",OK,400
2026-02-05T04:15:07.048101+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" complementary logic circuits",OK,400
2026-02-05T04:15:08.854718+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" complementary logic",OK,400
2026-02-05T04:15:10.538674+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" ""logic gate"" complementary",OK,400
2026-02-05T04:15:12.325515+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" ""ring oscillator"" complementary",OK,400
2026-02-05T04:15:14.349407+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" ""voltage transfer"" inverter",OK,400
2026-02-05T04:15:16.124129+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" ""noise margin"" inverter",OK,400
2026-02-05T04:15:17.678319+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" inverter propagation delay",OK,400
2026-02-05T04:15:19.818065+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" short propagation delay",OK,400
2026-02-05T04:15:21.813809+00:00,GaN_CMOS_A_Circuit_Demos,"""all-GaN"" CMOS inverter",OK,400
2026-02-05T04:15:23.517844+00:00,GaN_CMOS_A_Circuit_Demos,"""monolithic"" GaN CMOS",OK,400
2026-02-05T04:15:25.348215+00:00,GaN_CMOS_B_Enablers,"""GaN CMOS""",OK,400
2026-02-05T04:15:27.051632+00:00,GaN_CMOS_B_Enablers,"""complementary"" GaN transistor",OK,400
2026-02-05T04:15:28.774412+00:00,GaN_CMOS_B_Enablers,"""complementary"" GaN FET",OK,400
2026-02-05T04:15:30.460436+00:00,GaN_CMOS_B_Enablers,"""GaN"" p-channel transistor",OK,400
2026-02-05T04:15:32.031029+00:00,GaN_CMOS_B_Enablers,"""GaN"" p-channel FET",OK,400
2026-02-05T04:15:33.979061+00:00,GaN_CMOS_B_Enablers,"""p-channel"" GaN",OK,400
2026-02-05T04:15:35.799574+00:00,GaN_CMOS_B_Enablers,"""p-type"" GaN FET",OK,400
2026-02-05T04:15:37.696996+00:00,GaN_CMOS_B_Enablers,"""p-GaN"" transistor",OK,400
2026-02-05T04:15:39.590006+00:00,GaN_CMOS_B_Enablers,"""p-GaN"" FET",OK,400
2026-02-05T04:15:41.352684+00:00,GaN_CMOS_B_Enablers,"""p-channel"" GaN MOSFET",OK,400
2026-02-05T04:15:43.090749+00:00,GaN_CMOS_B_Enablers,"""GaN"" n-channel MOSFET",OK,400
2026-02-05T04:15:45.037641+00:00,GaN_CMOS_B_Enablers,"""GaN"" CMOS technology",OK,400
2026-02-05T04:15:47.282081+00:00,GaN_CMOS_B_Enablers,"""GaN"" complementary technology",OK,400
2026-02-05T04:15:49.659300+00:00,GaN_CMOS_B_Enablers,"""GaN"" complementary integration",OK,400
2026-02-05T04:15:52.476603+00:00,GaN_CMOS_B_Enablers,"""GaN"" threshold voltage engineering complementary",OK,400
2026-02-05T04:15:54.767728+00:00,GaN_CMOS_B_Enablers,"""normally-off"" GaN p-channel",OK,400
2026-02-05T04:15:56.664933+00:00,GaN_CMOS_B_Enablers,"""normally-off"" GaN complementary",OK,400
2026-02-05T04:15:58.511616+00:00,GaN_CMOS_B_Enablers,"""enhancement-mode"" GaN p-channel",OK,400
2026-02-05T04:16:00.717474+00:00,GaN_CMOS_B_Enablers,"""enhancement-mode"" GaN complementary",OK,400
2026-02-05T04:16:02.859530+00:00,GaN_CMOS_B_Enablers,"""gate stack"" GaN p-channel",OK,400
2026-02-05T04:16:04.719236+00:00,GaN_CMOS_B_Enablers,"""Mg"" doped p-GaN transistor",OK,400
2026-02-05T04:16:06.280559+00:00,GaN_CMOS_B_Enablers,"""polarization"" GaN p-channel transistor",OK,400
2026-02-05T04:16:08.073035+00:00,GaN_CMOS_B_Enablers,"""polarization"" enhanced complementary GaN",OK,400
2026-02-05T04:16:09.602538+00:00,VENUE_SWEEP_IEDM,"""GaN CMOS""",OK,400
2026-02-05T04:16:12.429356+00:00,VENUE_SWEEP_IEDM,"""GaN complementary logic""",OK,400
2026-02-05T04:16:14.237208+00:00,VENUE_SWEEP_IEDM,"""complementary GaN""",OK,400
2026-02-05T04:16:16.171055+00:00,VENUE_SWEEP_VLSI,"""GaN CMOS""",OK,400
2026-02-05T04:16:17.826326+00:00,VENUE_SWEEP_VLSI,"""GaN complementary logic""",OK,400
2026-02-05T04:16:19.716958+00:00,VENUE_SWEEP_VLSI,"""complementary GaN""",OK,400
2026-02-05T04:16:21.330020+00:00,VENUE_SWEEP_TED,"""GaN CMOS""",OK,400
2026-02-05T04:16:23.233698+00:00,VENUE_SWEEP_TED,"""GaN complementary logic""",OK,400
2026-02-05T04:16:24.837927+00:00,VENUE_SWEEP_TED,"""complementary GaN""",OK,400
2026-02-05T04:16:26.446101+00:00,VENUE_SWEEP_EDL,"""GaN CMOS""",OK,400
2026-02-05T04:16:28.299219+00:00,VENUE_SWEEP_EDL,"""GaN complementary logic""",OK,400
2026-02-05T04:16:30.021541+00:00,VENUE_SWEEP_EDL,"""complementary GaN""",OK,400
2026-02-06T04:15:15.175116+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN CMOS"" inverter",OK,400
2026-02-06T04:15:17.196465+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" CMOS inverter",OK,400
2026-02-06T04:15:19.398310+00:00,GaN_CMOS_A_Circuit_Demos,"""complementary"" GaN inverter",OK,400
2026-02-06T04:15:21.764102+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" complementary inverter",OK,400
2026-02-06T04:15:25.117994+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" complementary logic circuits",OK,400
2026-02-06T04:15:28.423856+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" complementary logic",OK,400
2026-02-06T04:15:30.493507+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" ""logic gate"" complementary",OK,400
2026-02-06T04:15:32.226384+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" ""ring oscillator"" complementary",OK,400
2026-02-06T04:15:34.193640+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" ""voltage transfer"" inverter",OK,400
2026-02-06T04:15:36.369830+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" ""noise margin"" inverter",OK,400
2026-02-06T04:15:38.384764+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" inverter propagation delay",OK,400
2026-02-06T04:15:41.075548+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" short propagation delay",OK,400
2026-02-06T04:15:43.223845+00:00,GaN_CMOS_A_Circuit_Demos,"""all-GaN"" CMOS inverter",OK,400
2026-02-06T04:15:45.047099+00:00,GaN_CMOS_A_Circuit_Demos,"""monolithic"" GaN CMOS",OK,400
2026-02-06T04:15:46.802636+00:00,GaN_CMOS_B_Enablers,"""GaN CMOS""",OK,400
2026-02-06T04:15:49.092647+00:00,GaN_CMOS_B_Enablers,"""complementary"" GaN transistor",OK,400
2026-02-06T04:15:51.641489+00:00,GaN_CMOS_B_Enablers,"""complementary"" GaN FET",OK,400
2026-02-06T04:15:53.983027+00:00,GaN_CMOS_B_Enablers,"""GaN"" p-channel transistor",OK,400
2026-02-06T04:15:56.095524+00:00,GaN_CMOS_B_Enablers,"""GaN"" p-channel FET",OK,400
2026-02-06T04:15:58.035682+00:00,GaN_CMOS_B_Enablers,"""p-channel"" GaN",OK,400
2026-02-06T04:16:00.112027+00:00,GaN_CMOS_B_Enablers,"""p-type"" GaN FET",OK,400
2026-02-06T04:16:02.735273+00:00,GaN_CMOS_B_Enablers,"""p-GaN"" transistor",OK,400
2026-02-06T04:16:04.795729+00:00,GaN_CMOS_B_Enablers,"""p-GaN"" FET",OK,400
2026-02-06T04:16:06.875641+00:00,GaN_CMOS_B_Enablers,"""p-channel"" GaN MOSFET",OK,400
2026-02-06T04:16:08.800421+00:00,GaN_CMOS_B_Enablers,"""GaN"" n-channel MOSFET",OK,400
2026-02-06T04:16:10.996304+00:00,GaN_CMOS_B_Enablers,"""GaN"" CMOS technology",OK,400
2026-02-06T04:16:13.138739+00:00,GaN_CMOS_B_Enablers,"""GaN"" complementary technology",OK,400
2026-02-06T04:16:15.074992+00:00,GaN_CMOS_B_Enablers,"""GaN"" complementary integration",OK,400
2026-02-06T04:16:17.310967+00:00,GaN_CMOS_B_Enablers,"""GaN"" threshold voltage engineering complementary",OK,400
2026-02-06T04:16:19.255601+00:00,GaN_CMOS_B_Enablers,"""normally-off"" GaN p-channel",OK,400
2026-02-06T04:16:21.169743+00:00,GaN_CMOS_B_Enablers,"""normally-off"" GaN complementary",OK,400
2026-02-06T04:16:23.394585+00:00,GaN_CMOS_B_Enablers,"""enhancement-mode"" GaN p-channel",OK,400
2026-02-06T04:16:26.346967+00:00,GaN_CMOS_B_Enablers,"""enhancement-mode"" GaN complementary",OK,400
2026-02-06T04:16:28.415176+00:00,GaN_CMOS_B_Enablers,"""gate stack"" GaN p-channel",OK,400
2026-02-06T04:16:31.234825+00:00,GaN_CMOS_B_Enablers,"""Mg"" doped p-GaN transistor",OK,400
2026-02-06T04:16:33.425342+00:00,GaN_CMOS_B_Enablers,"""polarization"" GaN p-channel transistor",OK,400
2026-02-06T04:16:35.576916+00:00,GaN_CMOS_B_Enablers,"""polarization"" enhanced complementary GaN",OK,400
2026-02-06T04:16:37.293232+00:00,VENUE_SWEEP_IEDM,"""GaN CMOS""",OK,400
2026-02-06T04:16:40.263270+00:00,VENUE_SWEEP_IEDM,"""GaN complementary logic""",OK,400
2026-02-06T04:16:42.950142+00:00,VENUE_SWEEP_IEDM,"""complementary GaN""",OK,400
2026-02-06T04:16:44.824445+00:00,VENUE_SWEEP_VLSI,"""GaN CMOS""",OK,400
2026-02-06T04:16:46.824279+00:00,VENUE_SWEEP_VLSI,"""GaN complementary logic""",OK,400
2026-02-06T04:16:48.883422+00:00,VENUE_SWEEP_VLSI,"""complementary GaN""",OK,400
2026-02-06T04:16:50.628403+00:00,VENUE_SWEEP_TED,"""GaN CMOS""",OK,400
2026-02-06T04:16:52.594730+00:00,VENUE_SWEEP_TED,"""GaN complementary logic""",OK,400
2026-02-06T04:16:54.469892+00:00,VENUE_SWEEP_TED,"""complementary GaN""",OK,400
2026-02-06T04:16:56.519841+00:00,VENUE_SWEEP_EDL,"""GaN CMOS""",OK,400
2026-02-06T04:16:59.298568+00:00,VENUE_SWEEP_EDL,"""GaN complementary logic""",OK,400
2026-02-06T04:17:02.007272+00:00,VENUE_SWEEP_EDL,"""complementary GaN""",OK,400
2026-02-07T04:08:34.185172+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN CMOS"" inverter",OK,400
2026-02-07T04:08:36.146669+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" CMOS inverter",OK,400
2026-02-07T04:08:38.046534+00:00,GaN_CMOS_A_Circuit_Demos,"""complementary"" GaN inverter",OK,400
2026-02-07T04:08:39.990271+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" complementary inverter",OK,400
2026-02-07T04:08:41.932449+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" complementary logic circuits",OK,400
2026-02-07T04:08:43.747911+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" complementary logic",OK,400
2026-02-07T04:08:45.679005+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" ""logic gate"" complementary",OK,400
2026-02-07T04:08:47.493912+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" ""ring oscillator"" complementary",OK,400
2026-02-07T04:08:49.140783+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" ""voltage transfer"" inverter",OK,400
2026-02-07T04:08:50.885376+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" ""noise margin"" inverter",OK,400
2026-02-07T04:08:52.661445+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" inverter propagation delay",OK,400
2026-02-07T04:08:54.453053+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" short propagation delay",OK,400
2026-02-07T04:08:56.235575+00:00,GaN_CMOS_A_Circuit_Demos,"""all-GaN"" CMOS inverter",OK,400
2026-02-07T04:08:58.044840+00:00,GaN_CMOS_A_Circuit_Demos,"""monolithic"" GaN CMOS",OK,400
2026-02-07T04:08:59.833284+00:00,GaN_CMOS_B_Enablers,"""GaN CMOS""",OK,400
2026-02-07T04:09:01.800067+00:00,GaN_CMOS_B_Enablers,"""complementary"" GaN transistor",OK,400
2026-02-07T04:09:03.650329+00:00,GaN_CMOS_B_Enablers,"""complementary"" GaN FET",OK,400
2026-02-07T04:09:05.546887+00:00,GaN_CMOS_B_Enablers,"""GaN"" p-channel transistor",OK,400
2026-02-07T04:09:07.431858+00:00,GaN_CMOS_B_Enablers,"""GaN"" p-channel FET",OK,400
2026-02-07T04:09:09.591823+00:00,GaN_CMOS_B_Enablers,"""p-channel"" GaN",OK,400
2026-02-07T04:09:11.575076+00:00,GaN_CMOS_B_Enablers,"""p-type"" GaN FET",OK,400
2026-02-07T04:09:13.355872+00:00,GaN_CMOS_B_Enablers,"""p-GaN"" transistor",OK,400
2026-02-07T04:09:15.073356+00:00,GaN_CMOS_B_Enablers,"""p-GaN"" FET",OK,400
2026-02-07T04:09:16.742591+00:00,GaN_CMOS_B_Enablers,"""p-channel"" GaN MOSFET",OK,400
2026-02-07T04:09:18.661263+00:00,GaN_CMOS_B_Enablers,"""GaN"" n-channel MOSFET",OK,400
2026-02-07T04:09:20.690258+00:00,GaN_CMOS_B_Enablers,"""GaN"" CMOS technology",OK,400
2026-02-07T04:09:22.688257+00:00,GaN_CMOS_B_Enablers,"""GaN"" complementary technology",OK,400
2026-02-07T04:09:24.849512+00:00,GaN_CMOS_B_Enablers,"""GaN"" complementary integration",OK,400
2026-02-07T04:09:26.733566+00:00,GaN_CMOS_B_Enablers,"""GaN"" threshold voltage engineering complementary",OK,400
2026-02-07T04:09:28.685586+00:00,GaN_CMOS_B_Enablers,"""normally-off"" GaN p-channel",OK,400
2026-02-07T04:09:30.552985+00:00,GaN_CMOS_B_Enablers,"""normally-off"" GaN complementary",OK,400
2026-02-07T04:09:32.372149+00:00,GaN_CMOS_B_Enablers,"""enhancement-mode"" GaN p-channel",OK,400
2026-02-07T04:09:34.187719+00:00,GaN_CMOS_B_Enablers,"""enhancement-mode"" GaN complementary",OK,400
2026-02-07T04:09:36.019486+00:00,GaN_CMOS_B_Enablers,"""gate stack"" GaN p-channel",OK,400
2026-02-07T04:09:38.116007+00:00,GaN_CMOS_B_Enablers,"""Mg"" doped p-GaN transistor",OK,400
2026-02-07T04:09:39.900454+00:00,GaN_CMOS_B_Enablers,"""polarization"" GaN p-channel transistor",OK,400
2026-02-07T04:09:41.938357+00:00,GaN_CMOS_B_Enablers,"""polarization"" enhanced complementary GaN",OK,400
2026-02-07T04:09:43.576500+00:00,VENUE_SWEEP_IEDM,"""GaN CMOS""",OK,400
2026-02-07T04:09:45.695016+00:00,VENUE_SWEEP_IEDM,"""GaN complementary logic""",OK,400
2026-02-07T04:09:47.523041+00:00,VENUE_SWEEP_IEDM,"""complementary GaN""",OK,400
2026-02-07T04:09:49.367639+00:00,VENUE_SWEEP_VLSI,"""GaN CMOS""",OK,400
2026-02-07T04:09:51.172112+00:00,VENUE_SWEEP_VLSI,"""GaN complementary logic""",OK,400
2026-02-07T04:09:53.076649+00:00,VENUE_SWEEP_VLSI,"""complementary GaN""",OK,400
2026-02-07T04:09:54.751740+00:00,VENUE_SWEEP_TED,"""GaN CMOS""",OK,400
2026-02-07T04:09:56.574123+00:00,VENUE_SWEEP_TED,"""GaN complementary logic""",OK,400
2026-02-07T04:09:58.371862+00:00,VENUE_SWEEP_TED,"""complementary GaN""",OK,400
2026-02-07T04:10:00.148336+00:00,VENUE_SWEEP_EDL,"""GaN CMOS""",OK,400
2026-02-07T04:10:02.527991+00:00,VENUE_SWEEP_EDL,"""GaN complementary logic""",OK,400
2026-02-07T04:10:04.405493+00:00,VENUE_SWEEP_EDL,"""complementary GaN""",OK,400
2026-02-08T04:32:23.179079+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN CMOS"" inverter",OK,400
